"","identification","Alabama","Arkansas","Connecticut","Delaware","District of Columbia","Florida Territory","Georgia","Illinois","Indiana","Iowa Territory","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Mississippi","Missouri","New Hampshire","New Jersey","New York","North Carolina","Ohio","Pennsylvania","Rhode Island","South Carolina","Tennessee","Vermont","Virginia"
"1","DisabledWhite",520,111,950,112,28,33,630,454,919,20,1431,134,939,752,1652,95,223,410,820,659,4060,1083,2126,3267,340,649,1245,634,1931
"2","DisabledWhite_DeafandDumb",173,40,309,45,8,14,198,155,297,10,400,42,222,181,273,31,64,126,181,164,1039,280,559,781,74,140,291,135,453
"3","Female",285674,44996,157779,38829,23379,24585,340149,218904,329361,18757,379740,164609,248084,235960,372366,98479,179677,180607,145322,185168,1197755,378599,735365,856476,56054,301360,409503,145206,616095
"4","FreeColored_Female",1009,217,4214,8293,4908,419,1379,1722,3434,79,3556,13976,635,32891,4015,314,651,691,289,10264,26218,11505,8602,25102,1825,4412,2728,366,26024
"5","FreeColored_Female_Age100YearsandOver",9,2,1,14,15,0,24,2,2,0,11,13,2,77,2,1,5,6,2,12,44,28,8,30,1,7,8,0,36
"6","FreeColored_Female_Age10to23Years",313,60,1238,2457,1455,123,381,570,1100,39,800,3679,195,8656,1058,98,151,159,66,3106,6951,3475,2784,7426,489,1272,742,106,7617
"7","FreeColored_Female_Age24to35Years",188,35,860,1415,1027,78,229,311,592,8,536,2971,128,6695,868,76,133,152,54,2079,6809,2043,1640,6071,425,858,445,65,4871
"8","FreeColored_Female_Age36to54Years",124,32,715,1127,813,75,192,201,413,16,680,2164,109,5409,771,46,122,133,61,1485,4454,1454,1053,3806,360,545,367,76,3556
"9","FreeColored_Female_Age55to99Years",104,21,433,662,390,35,178,102,215,2,593,986,54,2927,417,13,59,89,56,748,1928,801,487,1505,232,338,285,43,2046
"10","FreeColored_Female_AgeUnder10Years",271,67,967,2618,1208,108,375,536,1112,14,936,4163,147,9127,899,80,181,152,50,2834,6032,3704,2630,6264,318,1392,881,76,7898
"11","FreeColored_Male",1030,248,3891,8626,3453,398,1374,1876,3731,93,3761,11526,720,29187,4654,393,715,883,248,10780,23809,11227,8740,22752,1413,3864,2796,364,23818
"12","FreeColored_Male_Age100YearsandOver",4,3,4,7,13,0,8,1,8,0,10,26,1,48,6,0,4,1,0,4,23,18,19,36,0,12,6,2,20
"13","FreeColored_Male_Age10to23Years",296,56,1165,2679,948,125,375,568,1119,31,786,3207,231,7733,1119,103,168,195,68,3429,6370,3593,2688,6192,388,1105,772,99,7165
"14","FreeColored_Male_Age24to35Years",170,62,710,1392,562,87,232,377,620,22,534,2014,135,4785,1444,119,125,266,42,1978,5711,1665,1719,5182,319,677,372,74,3898
"15","FreeColored_Male_Age36to54Years",152,34,746,1163,525,49,195,265,497,14,754,1581,137,4686,871,62,114,154,48,1639,4221,1255,1175,3697,242,405,379,60,3125
"16","FreeColored_Male_Age55to99Years",107,16,331,645,237,29,137,117,229,6,629,683,67,2514,306,16,76,74,33,711,1476,734,579,1400,109,262,294,38,1652
"17","FreeColored_Male_AgeUnder10Years",301,77,935,2740,1168,108,427,548,1258,20,1048,4015,149,9421,908,93,228,193,57,3019,6008,3962,2560,6245,355,1403,973,91,7958
"18","FreeColoredPopulation",2039,465,8105,16919,8361,817,2753,3598,7165,172,7317,25502,1355,62078,8669,707,1366,1574,537,21044,50027,22732,17342,47854,3238,8276,5524,730,49842
"19","FreePersons",337224,77639,309961,75480,39018,28760,410448,475852,685863,43096,597570,183959,501793,380282,737699,212267,180440,325462,284573,372632,2428917,507602,1519464,1723969,108825,267360,646151,291948,790810
"20","FreePersons_ColoredPersons",2039,465,8105,16919,8361,817,2753,3598,7165,172,7317,25502,1355,62078,8669,707,1366,1574,537,21044,50027,22732,17342,47854,3238,8276,5524,730,49842
"21","FreePersons_ColoredPersons_Female",1009,217,4214,8293,4908,419,1379,1722,3434,79,3556,13976,635,32891,4015,314,651,691,289,10264,26218,11505,8602,25102,1825,4412,2728,366,26024
"22","FreePersons_ColoredPersons_Male",1030,248,3891,8626,3453,398,1374,1876,3731,93,3761,11526,720,29187,4654,393,715,883,248,10780,23809,11227,8740,22752,1413,3864,2796,364,23818
"23","FreePersons_White",335185,77174,301856,58561,30657,27943,407695,472254,678698,42924,590253,158457,500438,318204,729030,211560,179074,323888,284036,351588,2378890,484870,1502122,1676115,105587,259084,640627,291218,740968
"24","FreePersons_White_Female",158493,34963,153556,29302,15835,11487,197161,217019,325925,18668,284930,68710,247449,159400,368351,98165,81818,150418,145032,174533,1171533,244823,726762,831345,54225,128588,315193,144840,369745
"25","FreePersons_White_Male",176692,42211,148300,29259,14822,16456,210534,255235,352773,24256,305323,89747,252989,158804,360679,113395,97256,173470,139004,177055,1207357,240047,775360,844770,51362,130496,325434,146378,371223
"26","InsaneandIdioticPersons",359,66,542,80,21,22,431,292,562,11,975,100,631,550,1271,65,198,270,505,442,2340,801,1360,2133,216,513,851,411,1434
"27","InsaneandIdioticPersons_AtPrivateCharge",295,49,404,51,17,21,353,242,424,9,622,87,386,371,627,58,168,210,314,271,1601,620,935,1609,94,406,720,263,1062
"28","InsaneandIdioticPersons_AtPublicCharge",64,17,138,29,4,1,78,50,138,2,353,13,245,179,644,7,30,60,191,171,739,181,425,524,122,107,131,148,372
"29","Male",305082,52578,152199,39256,20333,29892,351243,257279,356505,24355,400088,187802,253709,234059,365333,113788,195974,203095,139252,188138,1231166,374820,784102,867557,52776,293038,419707,146742,623702
"30","PersonsEmployedinMining",96,41,151,5,0,1,574,782,333,217,331,1,36,320,499,40,14,742,13,266,1898,589,704,4603,35,49,103,77,1995
"31","Slave_Female",126172,9816,9,1234,2636,12679,141609,163,2,10,91254,81923,0,43669,0,0,97208,29498,1,371,4,122271,1,29,4,168360,91582,0,220326
"32","Slave_Female_Age100YearsandOver",47,3,0,1,3,8,72,0,0,0,22,33,0,37,0,0,27,4,0,2,0,84,0,1,0,84,33,0,120
"33","Slave_Female_Age10to23Years",40818,3558,0,551,977,4120,44348,59,2,5,30818,24804,0,14425,0,0,32358,10926,1,4,2,37910,1,8,0,48251,30356,0,65814
"34","Slave_Female_Age24to35Years",26491,1930,0,194,498,2673,27557,20,0,3,15058,22373,0,7575,0,0,21670,4887,0,7,0,20292,0,0,0,34589,15635,0,38272
"35","Slave_Female_Age36to54Years",12023,849,1,76,370,1446,16265,24,0,1,9645,9441,0,4735,0,0,9019,2558,0,168,0,13374,0,1,1,22403,9021,0,27781
"36","Slave_Female_Age55to99Years",3130,174,8,37,158,440,4922,7,0,0,2998,2114,0,2351,0,0,2162,644,0,190,1,6421,0,11,3,8506,2832,0,12636
"37","Slave_Female_AgeUnder10Years",43663,3302,0,375,630,3992,48445,53,0,1,32713,23158,0,14546,0,0,31972,10479,0,0,1,44190,0,8,0,54527,33705,0,75703
"38","Slave_Male",127360,10119,8,1371,2058,13038,139335,168,1,6,91004,86529,0,46068,0,0,98003,28742,0,303,0,123546,2,35,1,158678,91477,0,228661
"39","Slave_Male_Age100YearsandOver",60,14,0,0,4,9,126,1,0,0,40,69,0,55,0,0,38,17,0,0,0,72,0,0,0,125,29,0,91
"40","Slave_Male_Age10to23Years",41293,3514,0,676,747,4070,43630,63,0,3,31627,23572,0,15515,0,0,31564,10718,0,1,0,38419,0,20,0,46137,30883,0,68751
"41","Slave_Male_Age24to35Years",25812,2069,0,170,338,2907,24953,30,0,1,15095,24717,0,7738,0,0,22008,4269,0,7,0,19636,1,0,0,30373,15068,0,40194
"42","Slave_Male_Age36to54Years",12802,890,5,53,275,1496,16319,15,1,1,9054,12699,0,5214,0,0,10120,2329,0,137,0,14053,1,0,0,20751,8665,0,30380
"43","Slave_Male_Age55to99Years",3626,182,3,30,96,512,5374,6,0,0,2657,2769,0,2565,0,0,2537,536,0,157,0,6512,0,3,1,8650,2717,0,12398
"44","Slave_Male_AgeUnder10Years",43767,3450,0,442,598,4044,48933,53,0,1,32531,22703,0,14981,0,0,31736,10873,0,1,0,44854,0,12,0,52642,34115,0,76847
"45","SlavePopulation",253532,19935,17,2605,4694,25717,280944,331,3,16,182258,168452,0,89737,0,0,195211,58240,1,674,4,245817,3,64,5,327038,183059,0,448987
"46","SlavePopulation_Female",126172,9816,9,1234,2636,12679,141609,163,2,10,91254,81923,0,43669,0,0,97208,29498,1,371,4,122271,1,29,4,168360,91582,0,220326
"47","SlavePopulation_Male",127360,10119,8,1371,2058,13038,139335,168,1,6,91004,86529,0,46068,0,0,98003,28742,0,303,0,123546,2,35,1,158678,91477,0,228661
"48","White_Female",158493,34963,153556,29302,15835,11487,197161,217019,325925,18668,284930,68710,247449,159400,368351,98165,81818,150418,145032,174533,1171533,244823,726762,831345,54225,128588,315193,144840,369745
"49","White_Female_Age100YearsandOver",14,1,4,3,1,1,25,2,9,1,23,1,10,9,2,2,6,3,8,3,25,19,22,24,2,21,27,7,40
"50","White_Female_Age10to14Years",21786,4869,15964,3404,1899,1448,25993,28496,42890,2188,37298,7760,30044,17602,36832,11798,10919,19679,15689,20362,134977,29646,91294,97972,5710,15822,42327,16677,43996
"51","White_Female_Age15to19Years",17911,3911,16478,3337,2077,1322,22395,24078,36904,2064,33207,7947,27940,18404,40360,10819,8911,16952,15457,19701,137414,26965,84872,96692,6030,14691,35965,15744,42475
"52","White_Female_Age20to29Years",25574,5881,27120,5707,3030,2220,31705,38823,55176,3789,47970,13602,42165,31116,74250,18706,14464,26330,24679,31514,227137,43132,127730,153803,10833,22392,51907,24225,65897
"53","White_Female_Age30to39Years",15152,3317,20110,3469,2026,1219,19603,22676,32708,1865,28608,7907,29046,19366,49324,11864,7847,14889,18269,20530,143882,25906,75799,92864,7138,13471,30597,18163,40082
"54","White_Female_Age40to49Years",9184,1715,14863,2173,1338,704,12300,12712,19967,979,18050,4099,20024,12517,33109,6109,4284,8580,14183,14009,90163,18114,48588,60838,4891,9145,19198,12807,26928
"55","White_Female_Age50to59Years",4647,805,10792,1341,795,354,6795,6514,10759,494,10907,1967,12304,7901,22684,3394,2250,4259,9824,8841,53496,11374,28037,37965,3430,5551,11535,8612,16865
"56","White_Female_Age5to9Years",26804,5853,16889,3859,1771,1761,32080,34913,53805,2962,44022,10395,34458,19997,40115,15089,13328,24321,16693,23161,154525,35221,110949,115570,5812,18741,51013,18877,52264
"57","White_Female_Age60to69Years",2407,357,7220,837,413,156,3679,2941,5035,187,6028,891,7703,4406,14645,1441,1075,2019,6702,5253,30190,6754,14636,21007,2176,3168,6465,5423,9986
"58","White_Female_Age70to79Years",847,113,4274,320,149,49,1485,866,1780,51,2526,323,4122,1804,8387,451,381,634,4000,2769,14281,2943,5592,9783,1196,1443,2617,2875,4468
"59","White_Female_Age80to89Years",205,30,1436,92,41,10,443,184,436,6,735,81,1274,532,2955,80,96,131,1388,803,4152,962,1345,2725,444,430,732,951,1256
"60","White_Female_Age90to99Years",45,3,153,9,1,2,79,39,59,0,137,19,174,96,375,11,22,21,181,82,522,150,173,316,59,74,126,100,202
"61","White_Female_AgeUnder5Years",33917,8108,18253,4751,2294,2241,40579,44775,66397,4082,55419,13718,38185,25650,45313,18401,18235,32600,17959,27505,180769,43637,137725,141786,6504,23639,62684,20379,65286
"62","White_Male",176692,42211,148300,29259,14822,16456,210534,255235,352773,24256,305323,89747,252989,158804,360679,113395,97256,173470,139004,177055,1207357,240047,775360,844770,51362,130496,325434,146378,371223
"63","White_Male_Age100YearsandOver",20,3,8,4,2,1,19,13,14,0,31,18,5,16,17,3,4,5,2,7,56,29,52,63,0,22,22,13,26
"64","White_Male_Age10to14Years",22819,5077,17270,3581,1764,1520,27136,31062,46129,2475,39190,7848,31691,18382,37971,12839,11475,21222,16929,21951,139752,31473,96697,101522,5969,16621,44489,17551,45822
"65","White_Male_Age15to19Years",16222,3863,16718,3104,1728,1305,20897,24876,36599,2179,32611,7218,27740,16302,37069,10887,8662,16784,15663,19308,130094,24919,81431,89825,5659,13719,34218,16999,38263
"66","White_Male_Age20to29Years",31455,8532,26097,5722,2891,4388,34696,52580,60002,6207,53265,20795,42266,30041,76285,22759,20084,33772,22170,31052,230981,38656,138755,152624,9878,22489,51112,23006,63465
"67","White_Male_Age30to39Years",19340,5129,19056,3549,1953,2801,22196,31428,37565,3310,32206,16304,29864,20753,52283,16025,11995,20568,16781,21553,158194,24254,85944,99421,6798,13774,31323,17596,41141
"68","White_Male_Age40to49Years",11783,2751,13355,2117,1201,1193,13886,15809,21678,1512,19958,7940,19948,12664,30161,8276,6001,11384,12915,13949,97542,16799,54992,64366,4452,9132,19369,12817,27465
"69","White_Male_Age50to59Years",6024,1194,9121,1270,724,530,7623,8755,13789,698,11809,3309,12551,7281,19270,4442,3289,5620,8690,8526,54975,10432,30298,37933,2799,5615,12755,7982,16680
"70","White_Male_Age5to9Years",28215,6331,17420,3957,1755,1947,33899,37278,57457,3138,46242,10736,35671,20551,40296,16054,14164,26054,17300,23809,158107,37011,115832,117351,5947,19360,53821,19069,53485
"71","White_Male_Age60to69Years",2886,523,5727,682,312,220,4240,3660,6195,272,6639,1206,7408,3911,11432,1903,1430,2439,5485,4887,30869,6365,18182,20268,1570,3059,7140,5454,9673
"72","White_Male_Age70to79Years",997,162,3381,268,115,73,1641,1119,2258,73,3092,410,4152,1549,6473,623,466,814,3447,2459,14694,2830,6778,9224,862,1418,3039,3137,4458
"73","White_Male_Age80to89Years",273,35,1034,61,21,20,455,257,551,12,860,102,1041,415,1914,88,130,183,1084,660,3984,741,1617,2453,287,409,855,884,1241
"74","White_Male_Age90to99Years",47,4,92,5,2,3,87,35,68,0,130,26,120,65,195,12,14,28,103,67,379,125,200,240,20,50,109,84,196
"75","White_Male_AgeUnder5Years",36611,8607,19021,4939,2354,2455,43759,48363,70468,4380,59290,13835,40532,26874,47313,19484,19542,34597,18435,28827,187730,46413,144582,149480,7121,24828,67182,21786,69308
"76","WhitePopulation",335185,77174,301856,58561,30657,27943,407695,472254,678698,42924,590253,158457,500438,318204,729030,211560,179074,323888,284036,351588,2378890,484870,1502122,1676115,105587,259084,640627,291218,740968
